activities,cycleTime,edit,test,resrouces,interactingIDE,other,work
2,12,1,1,0,0,0,Debugging
3,48,2,1,0,0,0,Debugging
2,7,1,1,0,0,0,Debugging
2,34,1,1,0,0,0,Debugging
6,200,4,1,0,1,0,Debugging
4,145,3,1,0,0,0,Debugging
2,81,1,1,0,0,0,Debugging
3,328,1,1,0,1,0,Debugging
3,182,2,1,0,0,0,Debugging
15,485,12,1,1,0,1,Debugging
6,113,5,1,0,0,0,Debugging
3,43,2,1,0,0,0,Debugging
2,102,1,1,0,0,0,Debugging
2,134,1,1,0,0,0,Debugging
4,153,3,1,0,0,0,Debugging
2,15,1,1,0,0,0,Debugging
2,24,1,1,0,0,0,Debugging
2,25,1,1,0,0,0,Debugging
2,29,1,1,0,0,0,Debugging
2,6,1,1,0,0,0,Debugging
6,152,5,1,0,0,0,Debugging
2,24,1,1,0,0,0,Debugging
2,27,1,1,0,0,0,Debugging
2,49,1,1,0,0,0,Debugging
2,45,1,1,0,0,0,Debugging
2,42,1,1,0,0,0,Debugging
2,79,1,1,0,0,0,Debugging
5,75,4,1,0,0,0,Debugging
2,60,1,1,0,0,0,Debugging
2,43,1,1,0,0,0,Debugging
2,14,1,1,0,0,0,Debugging
3,91,1,1,1,0,0,Debugging
5,102,2,1,1,1,0,Debugging
2,36,1,1,0,0,0,Debugging
2,21,1,1,0,0,0,Debugging
2,59,1,1,0,0,0,Debugging
3,32,2,1,0,0,0,Debugging
2,12,1,1,0,0,0,Debugging
2,15,1,1,0,0,0,Debugging
2,25,1,1,0,0,0,Debugging
2,18,1,1,0,0,0,Debugging
2,18,1,1,0,0,0,Debugging
2,9,1,1,0,0,0,Debugging
2,33,1,1,0,0,0,Debugging
11,280,10,1,0,0,0,Debugging
8,204,6,1,0,1,0,Debugging
11,351,10,1,0,0,0,Debugging
6,336,5,1,0,0,0,Debugging
10,112,9,1,0,0,0,Debugging
3,23,2,1,0,0,0,Debugging
3,47,2,1,0,0,0,Debugging
3,90,2,1,0,0,0,Debugging
2,29,1,1,0,0,0,Debugging
2,28,1,1,0,0,0,Debugging
2,10,1,1,0,0,0,Debugging
6,40,5,1,0,0,0,Debugging
4,42,1,2,0,0,1,Debugging
4,35,1,2,0,0,1,Debugging
8,363,7,1,0,0,0,Debugging
2,209,1,1,0,0,0,Debugging
2,498,1,1,0,0,0,Debugging
3,41,2,1,0,0,0,Debugging
5,356,4,1,0,0,0,Debugging
10,449,1,5,0,0,4,Debugging
3,36,2,1,0,0,0,Debugging
6,63,3,2,0,1,0,Debugging
5,78,4,1,0,0,0,Debugging
2,19,1,1,0,0,0,Debugging
4,31,3,1,0,0,0,Debugging
3,21,2,1,0,0,0,Debugging
5,88,4,1,0,0,0,Debugging
3,21,2,1,0,0,0,Debugging
2,15,1,1,0,0,0,Debugging
2,7,1,1,0,0,0,Debugging
4,101,1,1,0,0,2,Debugging
2,48,1,1,0,0,0,Debugging
4,38,3,1,0,0,0,Debugging
2,24,1,1,0,0,0,Debugging
2,11,1,1,0,0,0,Debugging
2,11,1,1,0,0,0,Debugging
2,78,1,1,0,0,0,Debugging
2,49,1,1,0,0,0,Debugging
3,125,1,1,0,1,0,Debugging
2,81,1,1,0,0,0,Debugging
2,168,1,1,0,0,0,Debugging
5,165,3,1,0,1,0,Debugging
9,292,4,1,0,4,0,Debugging
8,244,4,1,0,3,0,Debugging
2,39,1,1,0,0,0,Debugging
2,20,1,1,0,0,0,Debugging
4,287,1,2,0,0,1,Debugging
2,209,1,1,0,0,0,Debugging
2,60,1,1,0,0,0,Debugging
2,136,1,1,0,0,0,Debugging
3,198,1,1,0,1,0,Debugging
8,231,6,1,0,0,1,Debugging
2,7,1,1,0,0,0,Debugging
2,51,1,1,0,0,0,Debugging
4,221,2,2,0,0,0,Debugging
2,49,1,1,0,0,0,Debugging
3,123,1,2,0,0,0,Debugging
2,78,1,1,0,0,0,Debugging
5,128,2,1,0,1,1,Debugging
7,118,4,1,0,2,0,Debugging
2,31,1,1,0,0,0,Debugging
8,479,3,2,0,3,0,Debugging
2,30,1,1,0,0,0,Debugging
3,128,1,1,0,1,0,Debugging
2,20,1,1,0,0,0,Debugging
2,116,1,1,0,0,0,Debugging
2,70,1,1,0,0,0,Debugging
2,67,1,1,0,0,0,Debugging
2,79,1,1,0,0,0,Debugging
2,86,1,1,0,0,0,Debugging
2,64,1,1,0,0,0,Debugging
2,43,1,1,0,0,0,Debugging
3,65,1,1,0,1,0,Debugging
4,111,1,1,1,1,0,Debugging
7,120,4,1,0,1,1,Debugging
2,17,1,1,0,0,0,Debugging
2,20,1,1,0,0,0,Debugging
2,45,1,1,0,0,0,Debugging
2,17,1,1,0,0,0,Debugging
2,12,1,1,0,0,0,Debugging
2,44,1,1,0,0,0,Debugging
2,32,1,1,0,0,0,Debugging
2,19,1,1,0,0,0,Debugging
9,155,8,1,0,0,0,Debugging
6,36,5,1,0,0,0,Debugging
3,116,2,1,0,0,0,Debugging
2,76,1,1,0,0,0,Debugging
4,135,3,1,0,0,0,Debugging
2,25,1,1,0,0,0,Debugging
2,46,1,1,0,0,0,Debugging
2,34,1,1,0,0,0,Debugging
4,108,2,1,0,1,0,Debugging
2,72,1,1,0,0,0,Debugging
2,26,1,1,0,0,0,Debugging
2,52,1,1,0,0,0,Debugging
4,67,2,1,0,1,0,Debugging
2,32,1,1,0,0,0,Debugging
4,56,3,1,0,0,0,Debugging
3,83,2,1,0,0,0,Debugging
2,26,1,1,0,0,0,Debugging
6,38,3,1,0,2,0,Debugging
4,68,3,1,0,0,0,Debugging
21,297,20,1,0,0,0,Debugging
2,38,1,1,0,0,0,Debugging
3,63,2,1,0,0,0,Debugging
7,72,6,1,0,0,0,Debugging
6,72,5,1,0,0,0,Debugging
7,100,6,1,0,0,0,Debugging
3,104,2,1,0,0,0,Debugging
2,19,1,1,0,0,0,Debugging
4,248,2,1,0,0,1,Debugging
4,142,3,1,0,0,0,Debugging
2,32,1,1,0,0,0,Debugging
5,100,3,1,0,0,1,Debugging
5,125,2,1,2,0,0,Debugging
4,158,2,1,1,0,0,Debugging
2,32,1,1,0,0,0,Debugging
2,141,1,1,0,0,0,Debugging
2,39,1,1,0,0,0,Debugging
2,113,1,1,0,0,0,Debugging
2,73,1,1,0,0,0,Debugging
8,206,6,1,0,0,1,Debugging
2,81,1,1,0,0,0,Debugging
2,53,1,1,0,0,0,Debugging
2,66,1,1,0,0,0,Debugging
2,64,1,1,0,0,0,Debugging
3,116,1,1,0,0,1,Debugging
2,107,1,1,0,0,0,Debugging
2,16,1,1,0,0,0,Debugging
2,96,1,1,0,0,0,Debugging
2,55,1,1,0,0,0,Debugging
2,72,1,1,0,0,0,Debugging
2,28,1,1,0,0,0,Debugging
2,6,1,1,0,0,0,Debugging
5,214,2,1,1,0,1,Debugging
17,393,14,1,0,2,0,Debugging
3,26,2,1,0,0,0,Debugging
3,30,2,1,0,0,0,Debugging
3,47,1,1,0,1,0,Debugging
5,88,4,1,0,0,0,Debugging
2,51,1,1,0,0,0,Debugging
2,45,1,1,0,0,0,Debugging
2,117,1,1,0,0,0,Debugging
2,37,1,1,0,0,0,Debugging
2,63,1,1,0,0,0,Debugging
9,516,6,1,2,0,0,Debugging
7,488,6,1,0,0,0,Debugging
2,24,1,1,0,0,0,Debugging
2,22,1,1,0,0,0,Debugging
2,21,1,1,0,0,0,Debugging
2,27,1,1,0,0,0,Debugging
2,55,1,1,0,0,0,Debugging
2,61,1,1,0,0,0,Debugging
4,56,1,2,0,0,1,Debugging
38,444,26,1,9,2,0,Debugging
4,151,1,2,1,0,0,Debugging
6,257,5,1,0,0,0,Debugging
2,63,1,1,0,0,0,Debugging
3,155,1,1,1,0,0,Debugging
5,239,4,1,0,0,0,Debugging
7,195,4,1,0,0,2,Debugging
2,100,1,1,0,0,0,Debugging
2,51,1,1,0,0,0,Debugging
2,13,1,1,0,0,0,Debugging
2,16,1,1,0,0,0,Debugging
2,23,1,1,0,0,0,Debugging
2,48,1,1,0,0,0,Debugging
2,15,1,1,0,0,0,Debugging
2,93,1,1,0,0,0,Debugging
5,247,3,1,0,1,0,Debugging
2,22,1,1,0,0,0,Debugging
3,26,2,1,0,0,0,Debugging
3,51,2,1,0,0,0,Debugging
3,96,2,1,0,0,0,Debugging
4,137,2,1,1,0,0,Debugging
2,14,1,1,0,0,0,Debugging
5,366,3,1,0,0,1,Debugging
3,32,2,1,0,0,0,Debugging
3,92,2,1,0,0,0,Debugging
3,48,2,1,0,0,0,Debugging
2,99,1,1,0,0,0,Debugging
2,105,1,1,0,0,0,Debugging
2,7,1,1,0,0,0,Debugging
2,49,1,1,0,0,0,Debugging
9,297,4,2,0,1,2,Debugging
4,38,3,1,0,0,0,Debugging
4,182,2,1,0,0,1,Debugging
2,8,1,1,0,0,0,Debugging
4,38,2,1,1,0,0,Debugging
2,9,1,1,0,0,0,Debugging
2,63,1,1,0,0,0,Debugging
2,22,1,1,0,0,0,Debugging
2,23,1,1,0,0,0,Debugging
2,11,1,1,0,0,0,Debugging
2,12,1,1,0,0,0,Debugging
3,62,2,1,0,0,0,Debugging
2,84,1,1,0,0,0,Debugging
4,56,2,1,0,1,0,Debugging
2,24,1,1,0,0,0,Debugging
2,51,1,1,0,0,0,Debugging
5,148,4,1,0,0,0,Debugging
3,43,2,1,0,0,0,Debugging
3,98,2,1,0,0,0,Debugging
2,30,1,1,0,0,0,Debugging
2,95,1,1,0,0,0,Debugging
2,46,1,1,0,0,0,Debugging
3,36,1,1,0,1,0,Debugging
5,375,3,1,0,1,0,Debugging
2,93,1,1,0,0,0,Debugging
2,153,1,1,0,0,0,Debugging
3,344,1,2,0,0,0,Debugging
4,63,2,1,0,1,0,Debugging
