activities,cycleTime,edit,test,resrouces,interactingIDE,other,work
4,130,2,1,0,1,0,Programming
2,39,1,1,0,0,0,Programming
11,247,6,1,1,3,0,Programming
10,650,1,5,0,3,1,Programming
2,148,1,1,0,0,0,Programming
2,56,1,1,0,0,0,Programming
6,299,4,1,0,1,0,Programming
9,273,5,1,1,1,1,Programming
3,54,2,1,0,0,0,Programming
26,1278,22,1,0,3,0,Programming
4,197,2,1,0,1,0,Programming
9,293,5,1,0,3,0,Programming
3,21,2,1,0,0,0,Programming
2,7,1,1,0,0,0,Programming
5,24,4,1,0,0,0,Programming
18,320,15,1,0,2,0,Programming
4,196,3,1,0,0,0,Programming
7,143,6,1,0,0,0,Programming
6,101,5,1,0,0,0,Programming
15,648,10,1,0,2,2,Programming
6,145,5,1,0,0,0,Programming
4,146,1,2,0,0,1,Programming
3,146,2,1,0,0,0,Programming
3,104,2,1,0,0,0,Programming
3,85,2,1,0,0,0,Programming
5,164,2,1,0,1,1,Programming
7,148,3,1,1,1,1,Programming
10,460,6,1,0,3,0,Programming
15,520,8,1,2,3,1,Programming
2,5,1,1,0,0,0,Programming
2,10,1,1,0,0,0,Programming
2,11,1,1,0,0,0,Programming
2,14,1,1,0,0,0,Programming
2,52,1,1,0,0,0,Programming
6,306,2,1,0,3,0,Programming
4,60,2,1,0,1,0,Programming
15,503,9,2,0,3,1,Programming
23,518,14,2,2,4,1,Programming
12,377,10,1,0,1,0,Programming
5,398,2,1,0,2,0,Programming
2,869,1,1,0,0,0,Programming
2,84,1,1,0,0,0,Programming
4,121,2,1,0,0,1,Programming
2,46,1,1,0,0,0,Programming
4,97,2,1,0,1,0,Programming
2,490,1,1,0,0,0,Programming
35,1725,18,1,5,3,8,Programming
5,651,4,1,0,0,0,Programming
9,199,3,2,0,0,4,Programming
4,57,2,1,0,0,1,Programming
2,44,1,1,0,0,0,Programming
5,183,1,2,0,1,1,Programming
